URL,Date,Title,Author,Rank
https://reneweconomy.com.au/neoen-says-tesla-big-battery-to-deliver-more-savings-this-summer-74264,2019-01-12,neoen-says-tesla-big-battery-to-deliver-more-savings-this-summer-74264,Giles Parkinson,9.0
https://reneweconomy.com.au/six-developments-that-changed-the-world-of-energy-in-2018,2019-01-12,six-developments-that-changed-the-world-of-energy-in-2018,Giles Parkinson,3.0
https://reneweconomy.com.au/csiro-aemo-study-says-wind-solar-and-storage-clearly-cheaper-than-coal-45724,2019-01-12,csiro-aemo-study-says-wind-solar-and-storage-clearly-cheaper-than-coal-45724,Giles Parkinson,1.0
https://reneweconomy.com.au/cross-about-subsidies-the-equity-implications-of-rooftop-solar-in-australia-20832,2019-01-12,cross-about-subsidies-the-equity-implications-of-rooftop-solar-in-australia-20832,Mark Byrne,5.0
https://reneweconomy.com.au/the-driven-podcast-why-2019-be-the-year-that-ev-market-finally-takes-off-14214,2019-01-12,the-driven-podcast-why-2019-be-the-year-that-ev-market-finally-takes-off-14214,Giles Parkinson,
https://reneweconomy.com.au/one-million-batteries-may-not-work-the-way-you-think-they-will-92760,2019-01-12,one-million-batteries-may-not-work-the-way-you-think-they-will-92760,David Leitch,
https://reneweconomy.com.au/seasons-greetings-from-reneweconomy-see-you-in-2019-2019,2019-01-12,seasons-greetings-from-reneweconomy-see-you-in-2019-2019,Sophie Vorrath,
https://reneweconomy.com.au/grid-connection-biggest-concern-for-wind-solar-and-storage-projects-80902,2019-01-12,grid-connection-biggest-concern-for-wind-solar-and-storage-projects-80902,Giles Parkinson,
https://reneweconomy.com.au/tesla-activates-tesla-powerwall-storm-watch-in-queensland-first-time-outside-us-16317,2019-01-12,tesla-activates-tesla-powerwall-storm-watch-in-queensland-first-time-outside-us-16317,Giles Parkinson,
https://reneweconomy.com.au/all-we-want-for-christmas-four-disruptors-share-their-2019-energy-policy-wishes-61100,2019-01-12,all-we-want-for-christmas-four-disruptors-share-their-2019-energy-policy-wishes-61100,Sophie Vorrath,
https://reneweconomy.com.au/nine-reasons-to-celebrate-solar-pv-in-2018-2018,2019-01-12,nine-reasons-to-celebrate-solar-pv-in-2018-2018,Rebecca Hu &amp; APVI,
https://reneweconomy.com.au/coalition-energy-and-climate-policies-hit-rock-bottom-at-years-end-15804,2019-01-12,coalition-energy-and-climate-policies-hit-rock-bottom-at-years-end-15804,Giles Parkinson,
https://reneweconomy.com.au/greens-accuse-coalition-of-cooking-books-and-planet-on-emissions-23005,2019-01-12,greens-accuse-coalition-of-cooking-books-and-planet-on-emissions-23005,Sophie Vorrath,
https://reneweconomy.com.au/nsw-slams-federal-coalition-over-extraordinary-refusal-to-reinstate-emissions-in-neg-18516,2019-01-12,nsw-slams-federal-coalition-over-extraordinary-refusal-to-reinstate-emissions-in-neg-18516,Sophie Vorrath,
https://reneweconomy.com.au/australias-largest-wind-farm-wins-planning-approval-for-victoria-71054,2019-01-15,australias-largest-wind-farm-wins-planning-approval-for-victoria-71054,Sophie Vorrath,
https://reneweconomy.com.au/energy-price-gouging-exposed-by-new-regulations-34333,2019-01-15,energy-price-gouging-exposed-by-new-regulations-34333,Bruce Mountain,
https://reneweconomy.com.au/el-paso-announces-200mw-of-solar-100mw-of-energy-storage-79867,2019-01-15,el-paso-announces-200mw-of-solar-100mw-of-energy-storage-79867,Joshua S Hill,
https://reneweconomy.com.au/nsw-waves-through-900mw-solar-farm-for-construction-in-riverina-77079,2019-01-15,nsw-waves-through-900mw-solar-farm-for-construction-in-riverina-77079,Sophie Vorrath,
https://reneweconomy.com.au/booming-solar-market-triples-in-2018-set-to-deliver-hazelwood-liddell-by-2020-2020,2019-01-15,booming-solar-market-triples-in-2018-set-to-deliver-hazelwood-liddell-by-2020-2020,Sophie Vorrath,
https://reneweconomy.com.au/canadian-solar-buys-up-s-a-solar-farm-confirms-ppa-with-flow-power-72612,2019-01-15,canadian-solar-buys-up-s-a-solar-farm-confirms-ppa-with-flow-power-72612,Sophie Vorrath,
https://reneweconomy.com.au/know-your-nem-looking-forward-after-looking-back-54746,2019-01-15,know-your-nem-looking-forward-after-looking-back-54746,David Leitch,
https://reneweconomy.com.au/hawaiian-electric-submits-plans-for-seven-solar-plus-storage-projects-56670,2019-01-15,hawaiian-electric-submits-plans-for-seven-solar-plus-storage-projects-56670,Joshua S Hill,
https://reneweconomy.com.au/national-electricity-market-year-in-review-wholesale-electricity-prices-15795,2019-01-15,national-electricity-market-year-in-review-wholesale-electricity-prices-15795,Marija Petkovic,
https://reneweconomy.com.au/us-on-verge-of-139gw-solar-boom-81739,2019-01-15,us-on-verge-of-139gw-solar-boom-81739,Joshua S Hill,
https://reneweconomy.com.au/solaredge-teams-with-google-to-integrate-automated-ev-charging-82021,2019-01-15,solaredge-teams-with-google-to-integrate-automated-ev-charging-82021,Joshua S Hill,
https://reneweconomy.com.au/corporate-clean-energy-purchasing-reached-record-13-4-gw-in-2018,2019-01-30,corporate-clean-energy-purchasing-reached-record-13-4-gw-in-2018,Joshua S Hill,
https://reneweconomy.com.au/australia-tipped-to-add-70000-home-batteries-in-2019-lead-global-demand-64414,2019-01-30,australia-tipped-to-add-70000-home-batteries-in-2019-lead-global-demand-64414,Sophie Vorrath,
https://reneweconomy.com.au/fury-over-generator-bidding-this-time-they-have-gone-too-far-39712,2019-01-30,fury-over-generator-bidding-this-time-they-have-gone-too-far-39712,Giles Parkinson,
https://reneweconomy.com.au/will-morrison-kick-off-2019-with-massive-own-coal-52688,2019-01-30,will-morrison-kick-off-2019-with-massive-own-coal-52688,Richie Merzian,
https://reneweconomy.com.au/yurika-queensland-to-install-tesla-big-battery-in-townsville-80607,2019-01-30,yurika-queensland-to-install-tesla-big-battery-in-townsville-80607,Giles Parkinson,
https://reneweconomy.com.au/google-announces-its-first-asia-ppa-in-taiwan-99149,2019-01-30,google-announces-its-first-asia-ppa-in-taiwan-99149,Joshua S Hill,
https://reneweconomy.com.au/germany-eyes-coal-exit-by-2038-in-bid-for-climate-friendly-economy-77077,2019-01-30,germany-eyes-coal-exit-by-2038-in-bid-for-climate-friendly-economy-77077,Soren Amelang,
https://reneweconomy.com.au/yates-joint-independent-push-to-dethrone-coalitions-climate-and-energy-failures-67973,2019-01-30,yates-joint-independent-push-to-dethrone-coalitions-climate-and-energy-failures-67973,Giles Parkinson,
https://reneweconomy.com.au/coal-units-cut-out-as-report-warns-hele-plants-just-as-unreliable-23879,2019-01-30,coal-units-cut-out-as-report-warns-hele-plants-just-as-unreliable-23879,Sophie Vorrath,
https://reneweconomy.com.au/texas-grid-kicks-off-2019-with-a-30-carbon-free-energy-mix-37277,2019-01-30,texas-grid-kicks-off-2019-with-a-30-carbon-free-energy-mix-37277,Joshua S Hill,
https://reneweconomy.com.au/with-uk-nuclear-power-plans-in-tatters-its-vital-to-double-down-on-wind-and-solar-31048,2019-01-30,with-uk-nuclear-power-plans-in-tatters-its-vital-to-double-down-on-wind-and-solar-31048,David Toke,
https://reneweconomy.com.au/grid-held-together-by-solar-load-management-as-coal-fails-in-heat-18324,2019-01-30,grid-held-together-by-solar-load-management-as-coal-fails-in-heat-18324,Sophie Vorrath,
https://reneweconomy.com.au/new-wind-solar-battery-power-plant-wins-approval-in-western-australia-51324,2019-01-30,new-wind-solar-battery-power-plant-wins-approval-in-western-australia-51324,Giles Parkinson,
https://reneweconomy.com.au/battery-storage-as-substitute-for-gas-peakers-better-performance-lower-cost-69528,2019-01-30,battery-storage-as-substitute-for-gas-peakers-better-performance-lower-cost-69528,Fereidoon Sioshansi,
https://reneweconomy.com.au/rooftop-solar-batteries-early-winners-in-nsw-election-race-57454,2019-02-12,rooftop-solar-batteries-early-winners-in-nsw-election-race-57454,Sophie Vorrath,
https://reneweconomy.com.au/arena-tips-nearly-10m-into-distributed-energy-projects-pilots-25710,2019-02-12,arena-tips-nearly-10m-into-distributed-energy-projects-pilots-25710,Sophie Vorrath,
https://reneweconomy.com.au/shell-tipped-to-deepen-links-with-battery-storage-maker-sonnen-31175,2019-02-12,shell-tipped-to-deepen-links-with-battery-storage-maker-sonnen-31175,Giles Parkinson,
https://reneweconomy.com.au/uk-to-get-model-3-configurator-within-2-months-australia-to-follow-49721,2019-02-12,uk-to-get-model-3-configurator-within-2-months-australia-to-follow-49721,Bridie Schmidt,
https://reneweconomy.com.au/seven-take-aways-from-the-green-new-deal-launch-78306,2019-02-12,seven-take-aways-from-the-green-new-deal-launch-78306,Natalie Sauer,
https://reneweconomy.com.au/2018-the-year-fossil-fuels-began-their-inexorable-decline-55102,2019-02-12,2018-the-year-fossil-fuels-began-their-inexorable-decline-55102,Tristan Edis,
https://reneweconomy.com.au/south-australia-gets-50-new-grid-scale-energy-storage-proposals-89227,2019-02-12,south-australia-gets-50-new-grid-scale-energy-storage-proposals-89227,Giles Parkinson,
https://reneweconomy.com.au/radical-socialism-and-cow-farts-republicans-lash-out-at-democrats-green-new-deal-21677,2019-02-12,radical-socialism-and-cow-farts-republicans-lash-out-at-democrats-green-new-deal-21677,E.A Crunden,
https://reneweconomy.com.au/solar-wings-to-make-debut-at-avalon-air-show-55240,2019-02-12,solar-wings-to-make-debut-at-avalon-air-show-55240,Andrew Spence,
https://reneweconomy.com.au/nsw-greens-want-solar-and-batteries-on-all-new-homes-target-200000-locked-out-households-92200,2019-02-12,nsw-greens-want-solar-and-batteries-on-all-new-homes-target-200000-locked-out-households-92200,Sophie Vorrath,
https://reneweconomy.com.au/energyaustralia-to-buy-solar-and-batteries-for-charities-funded-by-ret-shortfall-20216,2019-02-12,energyaustralia-to-buy-solar-and-batteries-for-charities-funded-by-ret-shortfall-20216,Giles Parkinson,
https://reneweconomy.com.au/australia-could-be-100-renewables-by-2032-at-current-rate-of-wind-and-solar-installs-20759,2019-02-12,australia-could-be-100-renewables-by-2032-at-current-rate-of-wind-and-solar-installs-20759,Giles Parkinson,
https://reneweconomy.com.au/the-driven-podcast-happy-days-fonzarellis-michelle-nazzari-96606,2019-02-12,the-driven-podcast-happy-days-fonzarellis-michelle-nazzari-96606,Giles Parkinson,
https://reneweconomy.com.au/electric-motorcycles-promises-promises-16894,2019-02-12,electric-motorcycles-promises-promises-16894,Nigel Morris,
